activation,layers,width,mse,mse_left,mse_right,train_time_sec
tanh,10,18,54.27985763549805,16.554641723632812,37.725215911865234,9.238801956176758
tanh,10,19,47.76987361907959,10.04456615447998,37.72530746459961,9.182015895843506
tanh,10,20,54.27561569213867,16.55040740966797,37.7252082824707,9.374116897583008
relu,1,1,29.01534080505371,17.37432289123535,11.64101791381836,1.9506840705871582
relu,1,2,51.80332374572754,16.635950088500977,35.16737365722656,1.959693193435669
relu,1,3,51.880767822265625,16.55652618408203,35.324241638183594,1.8949010372161865
relu,1,4,45.999691009521484,16.35733413696289,29.642356872558594,1.9772160053253174
relu,1,5,39.8445930480957,16.305198669433594,23.53939437866211,1.8939006328582764
relu,1,6,40.7810115814209,16.30519676208496,24.475814819335938,1.9776818752288818
relu,1,7,46.328609466552734,16.305198669433594,30.02341079711914,2.034287214279175
relu,1,8,44.85097885131836,16.305208206176758,28.5457706451416,1.9211270809173584
relu,1,9,33.38364791870117,16.31713104248047,17.066516876220703,1.9185950756072998
relu,1,10,34.311893463134766,16.30519676208496,18.006696701049805,1.9745399951934814
relu,1,11,33.357242584228516,16.30519676208496,17.052045822143555,1.8932199478149414
relu,1,12,29.42042636871338,16.301471710205078,13.1189546585083,1.9686450958251953
relu,1,13,34.96993064880371,16.305198669433594,18.664731979370117,1.956244945526123
relu,1,14,30.78166389465332,16.30519676208496,14.47646713256836,1.9678800106048584
relu,1,15,28.921786308288574,16.30519676208496,12.616589546203613,1.9673891067504883
relu,1,16,30.576468467712402,16.30519676208496,14.271271705627441,1.9948489665985107
relu,1,17,35.691720962524414,16.305198669433594,19.38652229309082,1.9831011295318604
relu,1,18,32.467023849487305,16.26232147216797,16.204702377319336,1.8947370052337646
relu,1,19,29.94963550567627,16.30519676208496,13.644438743591309,1.9295828342437744
relu,1,20,27.676547050476074,16.30519676208496,11.371350288391113,1.954719066619873
relu,2,1,28.908713340759277,16.55652618408203,12.352187156677246,2.6656687259674072
relu,2,2,29.071446418762207,16.30519676208496,12.766249656677246,2.7026870250701904
relu,2,3,41.87465476989746,16.30519676208496,25.5694580078125,2.616093158721924
relu,2,4,42.362545013427734,16.30519676208496,26.057348251342773,2.526337146759033
relu,2,5,30.495161056518555,16.557605743408203,13.937555313110352,2.647368907928467
relu,2,6,21.977574825286865,16.30519676208496,5.672378063201904,2.620720148086548
relu,2,7,18.29101800918579,16.58070182800293,1.7103161811828613,2.699565887451172
relu,2,8,18.604873657226562,16.30519676208496,2.2996768951416016,2.63726806640625
relu,2,9,18.5446674823761,16.305198669433594,2.239468812942505,2.623029947280884
relu,2,10,28.93514347076416,16.30519676208496,12.6299467086792,2.6011998653411865
relu,2,11,21.59215497970581,16.30519676208496,5.28695821762085,2.7356390953063965
relu,2,12,42.36286926269531,16.305198669433594,26.05767059326172,2.695390224456787
relu,2,13,19.17763924598694,16.305198669433594,2.8724405765533447,2.7842609882354736
relu,2,14,27.160825729370117,16.305198669433594,10.855627059936523,2.8016927242279053
relu,2,15,42.36291694641113,16.30519676208496,26.057720184326172,2.767909049987793
relu,2,16,17.466100931167603,16.305198669433594,1.1609022617340088,2.7279250621795654
relu,2,17,42.36289405822754,16.30519676208496,26.057697296142578,2.717400074005127
